Date,AAPL,MSFT,GOOG,NVDA,ORCL,INTC,AMD,AMZN,CSCO,ADBE,QCOM,IBM,Tech,Total Portfolio
2005-05-17,22120.72995708377,19090.58344455973,23972.238609416207,22874.97121324964,18698.317223350932,22890.996291265,15507.175443994161,16483.150755103397,20538.789232870513,19910.664195626774,17167.4714857231,15435.24302582616,234690.3308780694,234690.3308780694
2005-05-18,22421.019013233108,19270.54275751168,24592.291192531717,23044.05915340448,18882.088834472102,23095.84070594979,15655.616438873298,16767.91553713938,20732.751625669604,20350.310752981284,17386.295064544476,15865.33082804948,238064.06190436037,238064.06190436037
2005-05-19,23490.75844915634,19435.50217978171,24594.344708467765,22999.51942421285,19035.223873129715,23167.097980540373,15695.200767092052,16891.3138356659,20883.61767575147,20690.037869217886,17414.8246532745,16031.53655063699,240328.97796692754,240328.97796692754
2005-05-20,23490.75844915634,19300.528032211427,24844.218275239255,23409.02387497034,19218.999162993983,23469.945411016917,15833.746387740117,16848.598778894106,20980.60207777008,20726.6752940882,17757.325545006428,15875.716339939805,241756.13762902704,241756.13762902704
2005-05-23,24873.312790740838,19383.010851917323,26267.350496741336,23951.937207081228,19448.69988160885,23603.539848323067,15784.265741525463,16934.028892437695,21066.80438006172,20889.878021998335,17690.729283601668,15896.48892756805,245790.04632360552,245790.04632360552
2005-05-24,24835.77510171025,19308.036267074734,26323.907582647316,24290.194776584398,19601.83675963801,24013.26516375235,15952.500316161217,16867.582871385574,21551.72799296431,21595.975575304194,17647.918859539754,15751.054228761188,247739.77549552324,247739.77549552324
2005-05-25,24885.818710500167,19278.03855809147,26818.51099638917,23978.639144940087,19525.27475842384,24048.89161188406,15992.083700615145,16729.947352156443,21142.248624769385,21822.460319461927,17533.479685282062,15790.525742104326,247545.9192046181,247545.9192046181
2005-05-26,25486.386857922542,19420.510578622132,26652.956700504335,24655.06216634527,19785.606531387635,24378.461432483564,16190.00628547376,16824.868946168437,21443.961491218728,22048.945063619663,17848.190331030142,16027.3829714199,250762.3393561961,250762.3393561961
2005-05-27,25373.778773268925,19547.974418948525,27352.18284871317,24494.847063056233,19678.411636453,24396.266629616286,16041.56340306497,16848.598778894106,21325.435329079635,22095.57405143838,17719.445530855384,16019.082068376107,250893.1605317647,250893.1605317647
2005-05-31,24873.312790740838,19345.51734235427,28511.052989946016,24121.01124269251,19601.83675963801,24013.26516375235,16229.58966992769,16853.345650682968,20905.17225834821,22062.267994580616,17771.88928466329,15697.02485813947,249985.28600546625,249985.28600546625
2005-06-01,25211.139535920767,19353.019360075818,29614.3908172487,24343.60560457389,19739.66086955002,24307.193941796264,16546.264295677745,17323.207880508737,21163.793590508933,22102.236787463484,18167.67972663859,15965.058953144777,253837.2513631077,253837.2513631077
2005-06-02,25048.48286003908,19338.029831296823,29604.11132161525,25251.481920182705,19877.479461347397,24574.40032971722,16872.835239423697,17280.492823736942,21422.410114241047,22042.28486868381,18239.196190066206,16071.020574760905,255622.2255351111,255622.2255351111
2005-06-03,23922.414469598287,19068.07946377567,28818.508414599306,25189.104399658296,19280.24655671946,24342.829146582302,16902.524193411387,16891.3138356659,20905.17225834821,21675.913161069926,17929.249711481338,15746.905341086887,250672.26095199698,250672.26095199698
2005-06-06,23722.235052000466,19023.098443155173,29916.708480077472,24948.781744724747,19372.121326050772,24200.308759631585,16833.25185496977,16976.742817654835,20883.61767575147,21615.961242290254,18019.85055068639,15582.760769631954,251095.43871662486,251095.43871662486
2005-06-07,22858.920519897496,19128.085243645124,30140.875363796535,24343.60560457389,19280.24655671946,23924.19977314427,17377.536132036475,16777.40814916244,20915.946344027518,21489.394668705805,17767.128034039513,15591.074183456523,249594.42057320508,249594.42057320508
2005-06-08,23096.645100183134,19045.5920620363,28746.530099250955,24174.422070682005,19402.75421977124,24137.964299704076,17615.042101349016,16530.611552109393,20915.946344027518,21489.394668705805,17609.767607221467,15541.21246668027,248305.88259172117,248305.88259172117
2005-06-09,23553.31545136281,19128.085243645124,29440.614513650868,25189.104399658296,19402.75421977124,24672.38145387315,18020.781701532484,16706.216387876117,20980.60207777008,21642.607104212166,17423.79155376013,15568.224806219734,251728.4789133322,251728.4789133322
2005-06-10,22402.26013359411,19068.07946377567,29048.84379009532,24904.351513813723,19356.81591541981,24031.068901442683,17387.43245003237,16587.563829583796,20732.751625669604,20736.666857036602,17166.303411680336,15534.968023226262,246957.10591537028,246957.10591537028
2005-06-13,22458.549228606473,18978.111205392917,29074.55643112435,25456.12377824686,19295.557485465055,24048.89161188406,17140.03016272393,16549.59564460086,20797.400948174036,21083.055438753683,17228.295915590683,15593.146281522279,247703.31413208522,247703.31413208522
2005-06-14,22521.10373959387,19015.590208291866,28622.10768784532,23951.937207081228,19111.796910573157,23781.69689950221,16902.524193411387,16630.27888635559,20668.103905974705,21302.878717430936,16727.606299841835,15559.905137004776,244795.52979290686,244795.52979290686
2005-06-15,23228.00957325667,18940.615623449277,28257.070405310227,23880.69554003074,19326.190379185526,23995.44683163814,16872.835239423697,16725.200480367585,20818.96194200891,21316.201648391892,16622.701292989423,15852.857579617434,245836.78653566955,245836.78653566955
2005-06-16,23759.780214688282,18775.654128798662,28528.53170730884,24005.339344730997,19081.16401685269,24155.788469587846,17209.302501165548,16886.5680954317,21045.259414322176,21589.31538036834,16675.162546033927,16008.690301095394,247720.5561203844,247720.5561203844
